iter	Passed	Remaining
877	11346	1576
878	11361	1563
879	11377	1551
880	11391	1538
881	11405	1525
882	11418	1512
883	11430	1499
884	11443	1487
885	11456	1474
886	11469	1461
887	11481	1448
888	11493	1435
889	11506	1422
890	11521	1409
891	11533	1396
892	11546	1383
893	11560	1370
894	11573	1357
895	11586	1344
896	11599	1331
897	11612	1319
898	11625	1306
899	11638	1293
900	11651	1280
901	11663	1267
902	11676	1254
903	11689	1241
904	11702	1228
905	11715	1215
906	11728	1202
907	11741	1189
908	11754	1176
909	11767	1163
910	11779	1150
911	11793	1137
912	11806	1125
913	11819	1112
914	11832	1099
915	11844	1086
916	11856	1073
917	11869	1060
918	11881	1047
919	11894	1034
920	11907	1021
921	11920	1008
922	11933	995
923	11946	982
924	11958	969
925	11971	956
926	11984	943
927	11998	930
928	12009	917
929	12023	904
930	12035	892
931	12048	879
932	12061	866
933	12074	853
934	12086	840
935	12099	827
936	12112	814
937	12124	801
938	12136	788
939	12150	775
940	12163	762
941	12176	749
942	12188	736
943	12201	723
944	12214	710
945	12227	697
946	12238	684
947	12251	672
948	12264	659
949	12277	646
950	12289	633
951	12302	620
952	12317	607
953	12330	594
954	12345	581
955	12360	568
956	12379	556
957	12398	543
958	12412	530
959	12424	517
960	12437	504
961	12449	491
962	12462	478
963	12475	465
964	12487	452
965	12501	440
966	12514	427
967	12531	414
968	12546	401
969	12560	388
970	12575	375
971	12590	362
972	12603	349
973	12618	336
974	12631	323
975	12646	310
976	12661	298
977	12675	285
978	12687	272
979	12701	259
980	12715	246
981	12731	233
982	12746	220
983	12763	207
984	12778	194
985	12793	181
986	12807	168
987	12823	155
988	12836	142
989	12848	129
990	12861	116
991	12874	103
992	12888	90
993	12900	77
994	12914	64
995	12941	51
996	12954	38
997	12967	25
998	12979	12
999	12992	0
